file_number,category,doc_type,order_date,fsa,primary_amount,amount_type,monthly_rent,rent_pattern,months_of_rent_owed,hearing_date,hearing_sentence_found,landlord_attended,tenant_attended,landlord_represented,tenant_represented,explicit_non_attendance,extraction_method,notes
LTB-L-101921-25,A2,Amended Order,2026-05-19,M1R,3912.55,arrears,,,,"April 23, 2026",True,True,False,True,,True,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-102191-25,A2,Order,2026-05-29,M4L,6818.58,arrears,,,,"April 23, 2026",True,True,False,True,,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-104442-25,A2,Order,2026-05-04,M3M,5408.01,arrears,,,,"March 26, 2026",True,True,False,True,,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-104561-25,A2,Order,2026-05-04,N6K,,,,,,"April 23, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-T-018404-25,A2,Order,2026-04-21,K2P,,,,,,"March 4, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-T-030283-25,A2,Order,2026-03-17,K1G,,,,,,"March 10, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-T-036020-25,A2,Order,2026-04-17,K7M,,,,,,"April 9, 2026",True,True,True,False,False,False,text,no dollar amount found
LTB-T-077403-25,A2,Order,2026-03-10,N0R,,,,,,"March 5, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-T-085755-25,A2,Order,2026-04-29,N2J,,,,,,"April 27, 2026",True,True,True,True,True,False,text,no dollar amount found
LTB-T-101926-24,A2,Order,2026-02-03,K1K,,,,,,"January 21, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-T-101926-24,A2,Order,2026-02-03,K1K,,,,,,"January 21, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-T-102045-24,A2,Order,2026-01-19,M6R,,,,,,"October 15, 2025",True,True,True,False,False,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-C-001313-26,C1,Order,2026-03-06,N3R,,,,,,"March 5, 2026",True,False,False,,,False,text,no dollar amount found
LTB-C-010712-26,C1,Order,2026-05-11,K1K,10864.0,ambiguous-max,1063.0,pattern_1,10.22,"May 6, 2026",True,False,False,,,True,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-012862-26,C1,Order,2026-04-08,N5P,7917.0,ambiguous-max,,,,,False,,,,,True,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-024971-26,C1,Order,2026-05-11,K1G,4750.1,ambiguous-max,,,,"May 4, 2026",False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-029481-26,C1,Order,2026-05-25,L2N,5781.13,ambiguous-max,1023.0,pattern_1,5.65,"May 14, 2026",False,,,,,True,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-032500-26,C1,Order,2026-05-22,N1G,30686.18,ambiguous-max,1116.0,pattern_1,27.5,,False,,,,,True,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-037737-25,C1,Order,2026-01-08,L3V,34811.0,ambiguous-max,1025.0,pattern_1,33.96,"January 6, 2026",True,False,False,,,True,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-047877-25,C1,Order,2026-01-08,P1P,9487.0,ambiguous-max,,,,"January 6, 2026",True,False,False,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-057697-25,C1,Order,2026-03-05,N6G,8962.0,ambiguous-max,,,,"March 3, 2026",True,False,False,,,True,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-076715-25,C1,Order,2026-01-07,M3A,4694.0,ambiguous-max,,,,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-090134-25,C1,Order,2026-01-13,K2M,6785.0,ambiguous-max,1199.0,pattern_1,5.66,,False,,,,,True,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-091004-25,C1,Order,2026-01-27,L4Z,5726.8,ambiguous-max,,,,,True,False,False,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-093503-25,C1,Order,2026-04-14,N6G,8243.0,ambiguous-max,902.0,pattern_1,9.14,"April 7, 2026",True,False,False,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-099881-25,C1,Order,2026-02-17,P6A,8095.08,ambiguous-max,,,,,True,False,False,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-099994-25,C1,Order,2026-02-24,M1B,592.0,ambiguous-max,1418.0,pattern_1,0.42,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-103763-25,C1,Review Order,2026-05-06,L9C,,,,,,"May 1, 2026",True,False,False,,,False,text,no dollar amount found
LTB-C-103763-25,C1,Order,2026-02-17,L9C,,,,,,"May 1, 2026",True,False,False,,,False,text,no dollar amount found
LTB-C-106100-25,C1,Order,2026-02-20,N9V,1650.7,stated_total,,,,,True,False,False,,,False,text,"found in operative 'It is ordered that' section; explicit stated-total phrasing (""...is \$X"")"
LTB-C-107437-25,C1,Order,2026-05-07,N5H,2420.6,ambiguous-max,,,,"April 28, 2026",True,False,False,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-005356-26,C2,Order,2026-03-18,M5A,15.5,other,,,,,False,,,,,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-C-008026-25,C2,Order,2026-01-28,L4X,70000.0,ambiguous-max,,,,"August 13, 2025",True,False,False,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; multiple candidate amounts, took max — manual review advised"
LTB-C-011607-26,C2,Order,2026-04-02,L1N,,,,,,,False,,,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-C-030775-25,C2,Order,2026-03-16,N8N,3471.0,stated_total,,,,"February 3, 2026",True,False,False,,,False,text,"found in operative 'It is ordered that' section; explicit stated-total phrasing (""...is \$X"")"
LTB-C-044217-24,C2,Order,2026-02-19,M5A,,,,,,,True,False,False,,,True,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-C-055915-24,C2,Review Order,2026-01-28,M4Y,,,,,,"January 22, 2026",False,,,,,True,text,no dollar amount found
LTB-C-080299-25,C2,Order,2026-01-23,N5C,,,,,,,True,False,False,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-C-093184-25,C2,Order,2026-03-17,L9W,,,,,,,True,False,False,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-C-102589-25,C2,Order,2026-03-27,M1R,,,,,,"February 10, 2026",True,False,False,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-C-106014-25,C2,Order,2026-03-06,L2H,,,,,,,True,False,False,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-C-108009-25,C2,Order,2026-03-13,L7R,62.0,other,,,,"March 5, 2026",False,,,,,False,text,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-C-004666-26,C4,Order,2026-04-01,L4N,5560.0,ambiguous-max,,,,"March 3, 2026",False,,,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; multiple candidate amounts, took max — manual review advised"
LTB-C-010048-26,C4,ExParte Order,2026-02-27,N2E,12211.17,ambiguous-max,1360.0,pattern_1,8.98,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-011716-26,C4,Order,2026-04-30,N5V,,,,,,"March 17, 2026",True,False,False,,,False,text,no dollar amount found
LTB-C-021423-26,C4,ExParte Order,2026-03-11,N8H,,,,,,,False,,,,,False,text,no dollar amount found
LTB-C-023450-26,C4,Order,2026-04-10,K1T,370.75,arrears,,,,"April 7, 2026",True,False,False,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; single candidate amount, no strong keyword match"
LTB-C-023497-26,C4,Order,2026-05-21,L4Z,2892.0,ambiguous-max,,,,"May 12, 2026",True,False,False,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-036845-26,C4,ExParte Order,2026-05-01,L1H,4647.09,ambiguous-max,1037.0,pattern_1,4.48,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-039176-26,C4,ExParte Order,2026-05-07,L1N,1160.88,ambiguous-max,1151.0,pattern_1,1.01,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-043141-26,C4,ExParte Order,2026-05-20,N5C,1704.8,ambiguous-max,815.0,pattern_1,2.09,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-094902-25,C4,Order,2026-01-12,M1B,,,,,,"January 6, 2026",True,False,False,,,False,text,no dollar amount found
LTB-C-095480-25,C4,Order,2026-01-09,M6L,,,,,,"January 6, 2026",True,False,False,,,False,text,no dollar amount found
LTB-C-099505-25,C4,Order,2026-02-11,M9V,6956.76,ambiguous-max,,,,"January 20, 2026",True,False,False,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-108056-25,C4,ExParte Order,2026-01-09,L1J,544.74,ambiguous-max,300.0,pattern_1,1.82,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-C-108916-25,C4,Order,2026-03-25,L6Y,,,,,,"February 10, 2026",True,False,False,,,False,text,no dollar amount found
LTB-L-000042-26,L1,Order,2026-03-23,M1K,3729.48,arrears,1845.0,pattern_2,2.02,"March 10, 2026",True,True,True,True,True,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000050-26,L1,Order,2026-03-13,L1H,10459.25,arrears,1800.0,pattern_2,5.81,"March 10, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000067-26,L1,Order,2026-03-12,M4R,5197.1,arrears,2200.0,pattern_1,2.36,"March 9, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000082-26,L1,Amended Order,2026-03-27,N5P,6488.0,arrears,,,,"March 16, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000108-26,L1,Order,2026-03-19,M4X,2726.0,arrears,980.0,pattern_1,2.78,"March 11, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000114-26,L1,Order,2026-03-17,L0R,25186.0,arrears,1950.0,pattern_2,12.92,"March 9, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000132-25,L1,Review Order,2026-02-09,M9R,2686.0,arrears,,,,"June 12, 2025",True,False,True,,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000134-26,L1,Order,2026-03-24,K1K,13576.0,arrears,,,,"March 17, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000137-25,L1,Order,2026-03-04,L7A,6876.0,arrears,,,,"March 3, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000137-25,L1,Review Order,2026-05-13,L7A,6876.0,arrears,,,,"March 3, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000175-26,L1,Order,2026-03-18,K1J,2635.16,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000182-26,L1,Order,2026-03-16,P6B,998.0,arrears,,,,"March 10, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000194-26,L1,Order,2026-04-28,L4N,16231.33,arrears,2159.57,pattern_2,7.52,"March 16, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000209-26,L1,Order,2026-03-13,K9V,2638.0,arrears,,,,"March 10, 2026",True,True,True,True,True,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000247-26,L1,Order,2026-03-19,N3S,4637.0,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000285-26,L1,Order,2026-03-18,L8E,8691.92,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000303-26,L1,Order,2026-04-21,P2N,3986.0,arrears,1900.0,pattern_2,2.1,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000306-26,L1,Order,2026-03-11,M2M,,,,,,"March 9, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-000312-26,L1,Order,2026-03-23,K1B,632.29,arrears,2075.62,pattern_2,0.3,"March 12, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000350-26,L1,Order,2026-03-27,K1E,734.3,arrears,2423.1,pattern_2,0.3,"March 12, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000404-26,L1,Order,2026-03-17,N2C,5432.8,arrears,2215.34,pattern_1,2.45,"March 12, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000416-26,L1,Order,2026-03-18,L6L,6000.0,ambiguous-max,1750.0,pattern_2,3.43,"March 11, 2026",False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-L-000470-26,L1,Order,2026-03-13,K9V,7208.63,arrears,2046.09,pattern_1,3.52,"March 10, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000482-26,L1,Order,2026-03-16,M5A,7236.97,arrears,2200.0,pattern_1,3.29,"March 9, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000486-26,L1,Order,2026-04-01,M4C,4822.93,arrears,2135.0,pattern_1,2.26,"March 23, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000488-26,L1,Order,2026-03-26,M4C,9569.04,arrears,1885.0,pattern_1,5.08,"March 23, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000492-26,L1,Order,2026-03-30,P1P,1200.0,stated_total,1200.0,pattern_1,1.0,"March 10, 2026",False,,,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-000493-26,L1,Order,2026-03-31,M3C,,,,,,"March 23, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-000521-26,L1,Order,2026-03-30,P0G,5000.0,arrears,,,,"March 16, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000597-26,L1,Order,2026-04-30,N0C,35786.0,arrears,2800.0,pattern_1,12.78,"March 10, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000622-25,L1,Order,2026-05-19,N7T,17482.0,arrears,,,,"May 14, 2025",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000647-26,L1,Order,2026-03-12,N6A,1595.0,stated_total,1595.0,pattern_1,1.0,"March 9, 2026",True,True,True,True,False,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-000670-26,L1,Order,2026-03-13,L2R,588.0,arrears,,,,"March 11, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000681-26,L1,Order,2026-03-02,M4Y,,,,,,"February 23, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-L-000714-26,L1,Order,2026-03-10,M6R,10492.69,arrears,2593.11,pattern_1,4.05,"February 25, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000722-26,L1,Order,2026-05-12,K1V,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-000722-26,L1,Order,2026-05-12,K1V,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-000743-26,L1,Order,2026-03-17,L8S,3691.2,arrears,885.74,pattern_1,4.17,"March 11, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000748-26,L1,ExParte Order,2026-03-17,L7P,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-000752-26,L1,Order,2026-03-16,L3V,5019.75,arrears,1486.25,pattern_1,3.38,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000760-26,L1,Order,2026-03-13,N2M,2882.01,arrears,1291.29,pattern_1,2.23,"March 11, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000798-25,L1,Order,2026-02-05,L3C,7336.6,arrears,1400.0,pattern_2,5.24,"December 22, 2025",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000802-26,L1,Order,2026-03-23,M2N,,,,,,"March 16, 2026",True,True,True,True,False,False,text,no dollar amount found
LTB-L-000857-26,L1,Order,2026-03-26,L4S,2400.0,stated_total,2400.0,pattern_1,1.0,"March 12, 2026",False,,,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-000860-26,L1,Order,2026-03-20,L4J,5707.73,arrears,2600.0,pattern_2,2.2,"March 11, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000870-26,L1,ExParte Order,2026-03-19,L8L,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-000889-26,L1,Amended Order,2026-05-12,M1E,856.0,arrears,,,,"March 17, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000898-26,L1,Order,2026-03-19,M8Y,9484.09,arrears,2300.0,pattern_2,4.12,"March 12, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000907-26,L1,Order,2026-03-19,L1X,18786.0,arrears,3100.0,pattern_1,6.06,"March 11, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000908-26,L1,Order,2026-03-19,M2N,19868.0,arrears,2584.0,pattern_2,7.69,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000914-26,L1,Order,2026-03-17,N5Z,,,,,,"March 11, 2026",False,,,,,True,text,no dollar amount found
LTB-L-000926-26,L1,ExParte Order,2026-03-03,N5W,1769.98,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000959-26,L1,ExParte Order,2026-02-23,M1J,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-001015-26,L1,Order,2026-03-18,P4N,5326.0,arrears,1350.0,pattern_1,3.95,"March 16, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001027-26,L1,Order,2026-03-26,N7S,,,,,,"March 23, 2026",True,False,True,,False,True,text,no dollar amount found
LTB-L-001031-26,L1,Order,2026-03-18,K8A,10407.38,arrears,2100.0,pattern_1,4.96,"March 11, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001043-26,L1,Order,2026-03-17,M1P,6656.25,arrears,2300.0,pattern_1,2.89,"March 11, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001068-26,L1,Order,2026-03-19,L6A,,,,,,"March 11, 2026",True,False,True,,False,True,text,no dollar amount found
LTB-L-001070-26,L1,Order,2026-03-27,L4T,,,,,,"March 19, 2026",False,,,,,False,text,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-L-001078-26,L1,ExParte Order,2026-03-19,K1G,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-001087-26,L1,Order,2026-04-10,N2G,4831.12,arrears,2007.28,pattern_1,2.41,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001131-26,L1,Order,2026-03-23,M4Y,,,,,,"March 18, 2026",True,True,False,True,,True,text,no dollar amount found
