file_number,category,doc_type,order_date,fsa,primary_amount,amount_type,monthly_rent,rent_pattern,months_of_rent_owed,hearing_date,hearing_sentence_found,landlord_attended,tenant_attended,landlord_represented,tenant_represented,explicit_non_attendance,extraction_method,notes
LTB-L-001745-26,L1,ExParte Order,2026-03-18,L8P,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-001757-26,L1,Amended Order,2026-03-31,L9Z,16135.81,arrears,1409.66,pattern_1,11.45,"March 23, 2026",True,True,False,False,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001763-26,L1,Order,2026-03-17,L2A,,,,,,"March 12, 2026",False,,,,,False,text,no dollar amount found
LTB-L-001776-26,L1,Order,2026-03-18,N1H,2629.2,arrears,1230.0,pattern_2,2.14,"March 16, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001792-26,L1,Order,2026-03-23,N4K,4643.0,arrears,,,,"March 12, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001804-26,L1,Order,2026-03-18,L8J,12126.0,arrears,,,,"March 16, 2026",True,False,False,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001812-26,L1,ExParte Order,2026-03-25,L8V,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-001818-26,L1,Order,2026-04-09,K1S,6084.87,arrears,855.87,pattern_1,7.11,"March 12, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001846-26,L1,Order,2026-03-25,M3A,4549.24,arrears,2460.67,pattern_1,1.85,"March 23, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001869-26,L1,Order,2026-03-20,N2M,18931.2,arrears,,,,"March 12, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001894-26,L1,ExParte Order,2026-03-20,M6H,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-001912-26,L1,ExParte Order,2026-03-16,M3L,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-001914-26,L1,ExParte Order,2026-03-16,M3L,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-001916-26,L1,ExParte Order,2026-03-11,M3L,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-001936-26,L1,Order,2026-04-01,M3C,603.0,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001948-26,L1,Order,2026-03-26,M3L,,,,,,"March 23, 2026",True,True,False,True,,True,text,no dollar amount found
LTB-L-001950-26,L1,Order,2026-03-27,M3L,5756.0,arrears,2500.0,pattern_1,2.3,"March 23, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001961-26,L1,ExParte Order,2026-01-30,K8P,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-002004-26,L1,Order,2026-03-24,P5E,,,,,,"March 12, 2026",False,,,,,True,text,no dollar amount found
LTB-L-002031-26,L1,Order,2026-03-30,M1B,881.0,arrears,,,,"March 18, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002053-26,L1,Order,2026-03-31,N2H,5980.63,arrears,,,,"March 19, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002061-26,L1,Review Order,2026-05-04,P7C,21326.0,arrears,,,,"April 8, 2026",True,False,False,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002074-26,L1,Order,2026-03-31,L4N,,,,,,"March 23, 2026",True,False,True,,False,True,text,no dollar amount found
LTB-L-002076-26,L1,Order,2026-03-25,M1B,583.0,arrears,,,,"March 19, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002079-26,L1,Order,2026-03-27,M4L,6470.0,arrears,,,,"March 16, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002080-26,L1,Order,2026-03-27,N6A,53.71,arrears,1522.12,pattern_2,0.04,"March 24, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002081-26,L1,Order,2026-04-07,K7L,3179.08,arrears,1679.54,pattern_1,1.89,"March 24, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002109-26,L1,ExParte Order,2026-02-12,M3A,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-002111-26,L1,Order,2026-03-30,M1H,6762.06,arrears,2279.72,pattern_1,2.97,"March 19, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002128-26,L1,ExParte Order,2026-02-12,L5J,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-002136-26,L1,Order,2026-03-18,N0P,200.0,ambiguous-max,1333.0,pattern_2,0.15,,False,,,,,False,text,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-L-002145-26,L1,Order,2026-03-25,L5A,9268.5,arrears,,,,"March 17, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002174-26,L1,Order,2026-03-24,M1R,7120.35,arrears,1776.87,pattern_1,4.01,"March 17, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002175-26,L1,Order,2026-03-25,M1B,6278.0,arrears,,,,"March 24, 2026",False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002179-26,L1,ExParte Order,2026-01-29,K6V,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-002201-26,L1,Order,2026-03-23,M4C,7974.69,arrears,1302.58,pattern_1,6.12,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002204-26,L1,Order,2026-03-31,M6K,9333.0,arrears,2580.0,pattern_1,3.62,"March 18, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002221-26,L1,ExParte Order,2026-03-11,M5G,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-002224-26,L1,Order,2026-05-12,M4C,3050.0,stated_total,,,,"March 24, 2026",False,,,,,False,text,"no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-002234-26,L1,Order,2026-04-14,M5V,2955.72,arrears,1080.0,pattern_2,2.74,"March 24, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002236-26,L1,ExParte Order,2026-03-20,N6H,2226.2,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002251-26,L1,Order,2026-05-27,M1T,4841.86,arrears,1379.16,pattern_1,3.51,"March 17, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002282-26,L1,Order,2026-03-23,K0L,31986.0,arrears,2800.0,pattern_2,11.42,"March 16, 2026",True,True,True,False,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002293-26,L1,Order,2026-03-24,L6K,9829.2,arrears,1928.64,pattern_1,5.1,"March 19, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002304-26,L1,Order,2026-03-24,K0L,11061.0,arrears,,,,,False,,,,,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002327-26,L1,Order,2026-04-09,L8P,5053.18,arrears,1730.0,pattern_1,2.92,"March 24, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002336-26,L1,ExParte Order,2026-03-09,K9K,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-002348-26,L1,ExParte Order,2026-03-18,M8V,,,,,,,False,,,,,False,text,no dollar amount found
LTB-L-002387-26,L1,Order,2026-04-09,M4S,2758.45,arrears,2206.31,pattern_1,1.25,"March 31, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002476-26,L1,Order,2026-04-01,L4X,8905.09,arrears,3098.85,pattern_1,2.87,"March 24, 2026",True,True,True,True,False,False,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002526-26,L1,Order,2026-03-25,N2M,10582.45,arrears,2326.49,pattern_1,4.55,"March 19, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-002530-26,L1,ExParte Order,2026-02-24,N2M,,,,,,,False,,,,,False,ocr,no dollar amount found
LTB-L-002611-26,L1,Order,2026-04-07,N2C,4788.88,arrears,1112.11,pattern_1,4.31,"March 18, 2026",True,True,False,True,,True,text,found in operative 'It is ordered that' section; matched expected keyword for category
