file_number,category,doc_type,order_date,url,extraction_method,all_amounts_found,fee_amounts_found,primary_amount,amount_type,matched_context,notes
LTB-L-093852-25,L1,ExParte Order,2026-01-22,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sdXBeIAM/LTB-L-093852-25-EX-signed.pdf,text,[],[],,,,no dollar amount found
LTB-L-106740-25,L1,Order,2026-03-20,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vzNBnIAM/LTB-L-106740-25_Consent - March 20 2026.pdf,text,"[5892.49, 186.0, 902.32, 600.0, 790.17]",[186.0],5892.49,arrears,"it is ordered that:    1.  The Tenants shall pay to the Landlord >>>$5 892.49<<<, representing the rent arrears up to and  including March 31, 2026 and the $186",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-091351-25,L1,Order,2026-01-26,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sduxmIAA/LTB-L-091351-25-HR Order_CERT.pdf,text,[],[],,,,no dollar amount found
LTB-L-087442-25,L1,Order,2026-01-19,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sHgLaIAK/LTB-L-087442-25-HR -Signed.pdf,text,"[2395.0, 78.74, 2395.0, 1595.0, 10180.0, 186.0, 2395.0, 78.34, 10366.0, 12761.0, 6442.54, 78.74, 11775.0, 186.0, 1595.0, 10366.0, 14170.0, 186.0, 1595.0, 12761.0, 10324.88, 186.0, 1595.0, 2395.0, 78.34, 6442.54, 50000.0, 78.74]","[11775.0, 186.0, 14170.0, 186.0, 10324.88, 186.0]",12761.0,arrears,"ary 31, 2026. See Schedule 1  for the calculation of the amount owing.   OR  •  >>>$12,761.00<<< if the payment is made on or before February 12, 2026. See Schedule 1  for the",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-019115-26,L1,Order,2026-05-27,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N3000010FSRjIAO/LTB-L-019115-26_L1_2026 05 27.pdf,text,"[1873.74, 61.6, 1873.74, 2500.0, 4917.9, 186.0, 1769.59, 14.25, 5103.9, 6977.64, 2678.32, 61.6, 7417.9, 186.0, 2500.0, 5103.9, 9291.64, 186.0, 2500.0, 6977.64, 6776.16, 186.0, 2500.0, 1769.59, 14.25, 2678.32, 50000.0, 61.6]","[7417.9, 186.0, 9291.64, 186.0, 6776.16, 186.0]",6977.64,arrears,"May 31, 2026. See Schedule 1 for the  calculation of the amount owing.   OR  •  >>>$6,977.64<<< if the payment is made on or before June 30, 2026. See Schedule 1 for the  calc",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-011717-26,L1,Order,2026-04-23,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yNI9lIAG/LTB-L-011717-26 (L1) - Consent Order.pdf,text,"[11366.0, 91.89, 11366.0]",[],11366.0,arrears,"t of the unit.  5. On or before May 06, 2026, the Tenant shall pay the Landlord >>>$11,366.00<<< which  represents the arrears of rent owing up to April 30, 2026, including the",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-100573-25,L1,Order,2026-02-03,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tJLVlIAO/LTB-L-100573-25-HR - February 3 2026.pdf,text,"[1282.64, 3790.55, 4.63, 186.0, 190.63]",[],190.63,arrears,"It is ordered that:  1. The Tenant shall pay to the Landlord >>>$190.63<<<. This amount includes rent arrears owing up  to January 31, 2026, and the cost",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-099429-25,L1,Order,2026-02-06,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tYyyCIAS/LTB-L-099429-25 U-HR.pdf,text,"[2550.0, 83.84, 2550.0, 13100.0, 186.0, 2550.0, 78.13, 13286.0, 8443.23, 83.84, 13100.0, 186.0, 13286.0, 10885.36, 186.0, 2550.0, 78.13, 8443.23, 50000.0, 83.84]","[13100.0, 186.0, 13286.0, 10885.36, 186.0, 2550.0]",8443.23,arrears,"5. If the Tenants do not void the order, the Tenants shall pay to the Landlord >>>$8,443.23<<<. This  amount includes rent arrears owing up to the date of the hearing and the",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-007978-26,L1,Order,2026-04-16,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xr5XTIAY/LTB-L-007978-26-HR - April 16 2026.pdf,text,"[1355.11, 44.55, 1355.11, 2200.0, 2965.33, 186.0, 1355.11, 8.03, 700.0, 3151.33, 4506.44, 5861.55, 1012.23, 44.55, 5165.33, 186.0, 2200.0, 3151.33, 6520.44, 186.0, 2200.0, 4506.44, 7875.55, 186.0, 2200.0, 5861.55, 4389.37, 186.0, 2200.0, 1355.11, 8.03, 1012.23, 50000.0, 44.55]","[5165.33, 186.0, 6520.44, 186.0, 7875.55, 186.0, 4389.37, 186.0]",5861.55,arrears,"May 31, 2026. See Schedule 1 for  the calculation of the amount owing.   OR  •  >>>$5,861.55<<< if the payment is made on or before June 30, 2026. See Schedule 1 for  the calc",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-003996-26,L1,Order,2026-03-25,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000wIlByIAK/LTB-L-003996-26.pdf,text,"[5367.63, 186.0, 1910.0, 785.0, 223.0, 219.63]",[186.0],5367.63,arrears,"it is ordered that:    1. The Tenants shall pay to the Landlord >>>$5 367.63<<<, representing the rent arrears up to and  including March 31, 2026 and the $186",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-009440-26,L1,Order,2026-05-15,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zduLvIAI/22. STAMPED LTB-L-009440-26-HR - May 15 2026 rev by JV May 11.pdf,text,"[1905.0, 3252.0, 6574.0, 186.0, 6760.0, 500.0, 300.0, 300.0, 300.0, 500.0, 676.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 260.0]",[],676.0,arrears,"It is ordered that:  1. The Tenant shall pay to the Landlord >>>$676<<<0.00 for arrears of rent up to April 30,  2026, and costs.  2. The Tenant shall",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-013016-26,L1,Order,2026-04-22,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yN7W5IAK/LTB-L-013016-26 certified.pdf,text,"[5610.0, 470.0, 440.0]",[],5610.0,arrears,"it is ordered that:  1. The Tenant shall pay to the Landlord >>>$5,610.00<<< for arrears of rent up to April 30, 2026, and  costs.  2. The Tenant shall pay",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-013704-26,L1,Order,2026-05-12,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zPTGcIAO/LTB-L-013704-26_L1_2026_05_12 - cert.pdf,text,"[1198.05, 39.39, 1198.05, 12523.03, 39.39, 12523.03, 12523.03, 0.0, 0.0, 12523.03, 39.39]","[12523.03, 12523.03, 0.0]",12523.03,arrears,"ate the Tenants move out of the unit.  5. The Tenants shall pay to the Landlord >>>$12,523.03<<< representing rent arrears to the date of  the agreement, in full on before July",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-093495-25,L1,Review Order,2026-02-20,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000uRUmZIAW/LTB-L-093495-25-RV - February 20 2026.pdf,text,[],[],,,,no dollar amount found
LTB-L-107880-25,L1,Order,2026-03-27,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vxzZpIAI/LTB-L-107880-25_Consent - March 27 2026.pdf,text,"[2832.0, 2646.0, 186.0, 944.0]","[2832.0, 2646.0, 186.0]",944.0,other,o the Landlord the amount set out in paragraph 1 of this order as  follows:  a) >>>$944.00<<< per month due on or before the 20th day of each month for a 3-month period  sta,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-L-005510-26,L1,Order,2026-04-09,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xVMohIAG/LTB-L-005510-26-Certified.pdf,text,"[6968.94, 186.0, 7154.94, 300.0, 500.0, 254.94]","[186.0, 7154.94]",6968.94,arrears,"It is ordered on consent that:  1. The Tenant shall pay to the Landlord >>>$6,968.94<<< for arrears of rent up to April 30, 2026,  plus $186.00 for the application fil",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-089828-25,L1,Order,2026-02-05,"https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tLYiMIAW/LTB-L-089828-25_Consent - February 5, 2026 cert.pdf",text,"[2090.0, 33.67, 8512.33, 68.71]",[8512.33],2090.0,ambiguous-max,"t terminates on January 31, 2026.   2. The Landlord collected a rent deposit of >>>$2,090.00<<< from the Tenants and this deposit is still  being held by the Landlord. The ren","found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-L-089548-25,L1,Order,2026-01-22,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sI4faIAC/LTB-L-089548-25-HR.pdf,text,[],[],,,,no dollar amount found
LTB-L-107840-25,L1,Order,2026-03-20,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vqu6zIAA/LTB-L-107840-25-HR.pdf,text,"[1794.32, 58.99, 1794.32, 8897.8, 186.0, 1075.0, 21.4, 9083.8, 6900.96, 58.99, 8897.8, 186.0, 9083.8, 7811.36, 186.0, 1075.0, 21.4, 6900.96, 50000.0, 58.99]","[8897.8, 186.0, 9083.8, 7811.36, 186.0, 1075.0]",6900.96,arrears,"5. If the Tenants do not void the order, the Tenants shall pay to the Landlord >>>$6,900.96<<<. This  amount includes rent arrears owing up to the date of the hearing and the",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-097180-25,L1,Order,2026-02-13,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tav1sIAA/LTB-L-097180-25-HR.pdf,text,"[895.0, 29.42, 895.0, 7560.0, 186.0, 7746.0, 8641.0, 6939.26, 29.42, 7560.0, 186.0, 7746.0, 8455.0, 186.0, 8641.0, 6753.26, 186.0, 6939.26, 50000.0, 29.42]","[7560.0, 186.0, 7746.0, 8455.0, 186.0, 8641.0, 6753.26]",8641.0,arrears,"ary 28, 2026. See Schedule 1  for the calculation of the amount owing.   OR  •  >>>$8,641.00<<< if the payment is made on or before March 15, 2026. See Schedule 1 for  the cal",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-102336-25,L1,ExParte Order,2026-02-18,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000uIYUSIA4/LTB-L-102336-25-EX-signed.pdf,text,[],[],,,,no dollar amount found
LTB-L-023155-26,L1,Order,2026-05-27,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N3000010hTFzIAM/LTB Order_LTB-L-023155-26_27MAY26.pdf,text,"[2115.3, 69.54, 2115.3, 8115.5, 345.7, 40.0, 186.0, 1964.28, 203.6, 571.7, 2687.0, 1972.98, 69.54, 8461.2, 186.0, 40.0, 8115.5, 571.7, 10576.5, 186.0, 40.0, 8115.5, 2687.0, 8084.4, 186.0, 40.0, 8115.5, 1964.28, 203.6, 50000.0, 69.54]","[8461.2, 186.0, 40.0, 10576.5, 186.0, 40.0, 8084.4, 186.0, 40.0]",2687.0,arrears,"May 31, 2026. See Schedule 1 for the  calculation of the amount owing.   OR  •  >>>$2,687.00<<< if the payment is made on or before June 15, 2026. See Schedule 1 for  the calc",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-104113-25,L1,Order,2026-03-03,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000un71kIAA/LTB-L-104113-25-HR.pdf,text,"[1800.0, 59.18, 1800.0, 7200.0, 186.0, 1800.0, 27.75, 1000.0, 17.77, 615.0, 4408.0, 1425.0, 568.0, 6368.23, 615.0, 5753.23, 615.0, 5138.23, 615.0, 4523.23, 615.0, 3908.23, 615.0, 3293.23, 615.0, 2678.23, 615.0, 2063.23, 615.0, 1448.23, 615.0, 833.23, 615.0, 218.23, 218.23, 0.0]",[],6368.23,arrears,"It is ordered that:  1. The Tenant shall pay to the Landlord >>>$6,368.23<<< for arrears of rent up to February  28, 2026, and costs.  2. The Tenant shall p",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-001127-26,L1,Order,2026-03-19,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vh33RIAQ/LTB-L-001127-26_HR.pdf,text,"[1282.35, 42.16, 1282.35, 3020.0, 1099.4, 186.0, 1026.03, 208.89, 1285.4, 725.95, 42.16, 4119.4, 186.0, 3020.0, 1285.4, 3342.97, 186.0, 3020.0, 1026.03, 208.89, 50000.0, 42.16]","[725.95, 4119.4, 186.0, 3342.97, 186.0]",1285.4,arrears,"tion was filed  - $3,020.00  Total the Tenant must pay to continue the tenancy  >>>$1,285.40<<<  B. Amount the Tenant must pay if the tenancy is terminated  Rent Owing to Hear",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-009874-26,L1,Order,2026-04-14,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xVD2IIAW/LTB-L-009874-26-HR.pdf,text,[],[],,,,no dollar amount found
LTB-L-102927-25,L1,Amended Order,2026-04-21,"https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yKh7uIAC/LTB-L-102927-25-AM - apr 21, 2026.pdf",text,"[10586.0, 2641.6, 7944.4, 85.47]",[10586.0],7944.4,arrears,"$2,641.60.  3. On or before March 1, 2026, the Tenant must pay to the Landlord >>>$7,944.40<<<. This  amount represents outstanding arrears and costs to February 28, 2026, le",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-033659-23,L1,Review Order,2026-03-03,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000uvmu6IAA/LTB-L-033659-23-RV - March 3 2026.pdf,text,[30000.0],[],30000.0,arrears,"2025.  Moreover, the outstanding rent arrears were  significant (approximately >>>$30,000<<<) and the member found the tenancy to no longer be  viable.  In the circumstance","no operative section found, or it had no dollar mentions at all; fell back to full-document search; matched expected keyword for category"
LTB-L-085166-25,L1,Order,2026-01-14,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000s4vh5IAA/LTB-L-085166-25-HR.pdf,text,"[1749.0, 57.5, 1749.0, 4832.82, 1753.88, 186.0, 1939.88, 3688.88, 478.38, 57.5, 6586.7, 186.0, 4832.82, 1939.88, 8335.7, 186.0, 4832.82, 3688.88, 5125.2, 186.0, 4832.82, 478.38, 50000.0, 57.5]","[6586.7, 186.0, 8335.7, 186.0, 5125.2, 186.0]",3688.88,arrears,"ary 31, 2026. See Schedule 1  for the calculation of the amount owing.   OR  •  >>>$3,688.88<<< if the payment is made on or before February 28, 2026. See Schedule 1  for the",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-009657-26,L1,Order,2026-04-23,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yLNbtIAG/LTB-L-009657-26.pdf,text,"[9102.0, 8916.0, 9102.0]",[],9102.0,arrears,"It is ordered on consent that:  1. The Tenant shall pay to the Landlord >>>$9,102.00<<<. This amount represents $8,916.00 for  arrears of rent up to April 30, 2026, an",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-075562-25,L1,Order,2026-01-12,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000rfj7XIAQ/LTB-L-075562-25.pdf,text,"[6192.12, 203.58, 6192.12, 24768.48, 40.0, 186.0, 6192.12, 109.0, 37378.72, 15147.78, 203.58, 37152.72, 186.0, 40.0, 37378.72, 21222.9, 186.0, 40.0, 6192.12, 109.0, 15147.78, 50000.0, 203.58]","[37152.72, 186.0, 40.0, 21222.9, 186.0, 40.0]",37378.72,arrears,"186.00  NSF Charges  $40.00  Total the Tenant must pay to continue the tenancy  >>>$37,378.72<<<  B. Amount the Tenant must pay if the tenancy is terminated  Rent Owing To Hear",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-094231-25,L1,Amended Order,2026-03-03,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000ucFnTIAU/LTB-L-089064-25_LTB-L-094231-25-L1L2 - Mar 3 2026- AM.pdf,text,"[2418.91, 186.0, 12926.4, 12926.4, 186.0, 150.0, 300.0, 2426.4]","[186.0, 12926.4, 12926.4, 186.0]",2426.4,ambiguous-max,"26, and continuing each month until April 15, 2026; and   c. A final payment of >>>$2,426.40<<< on or before May 15, 2026.    3. The Tenant shall also pay to the Landlord the","found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-L-013529-26,L1,Order,2026-04-24,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000ySMb1IAG/LTB-L-013529-26-HR.pdf,text,[],[],,,,no dollar amount found
LTB-L-095822-25,L1,Order,2026-02-02,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000t5A3vIAE/LTB-L-095822-25 - L1 Non Voidable - Cert.pdf,text,"[1418.34, 46.63, 1418.34, 5673.35, 186.0, 1418.34, 29.46, 4252.22, 46.63, 5514.02, 186.0, 1418.34, 29.46, 4252.22, 50000.0, 46.63]","[5514.02, 186.0, 1418.34]",4252.22,arrears,"inated on or before January 31,  2026.  2. The Tenant shall pay to the Landlord >>>$4,252.22<<<. This amount includes rent arrears owing  up to the date of the hearing and the",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000350-26,L1,Amended Order,2026-04-10,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xTSYQIA4/LTB-L-000350-26-AM.pdf,text,"[2423.1, 186.0, 3060.38, 2250.0, 2250.0, 2250.0, 262.08, 734.3, 3060.38, 186.0, 2250.0, 262.08, 734.3]","[3060.38, 186.0, 2250.0]",734.3,arrears,enants moved out of the rental unit.  2. The Tenants shall pay to the Landlords >>>$734.30<<<. This amount includes rent arrears owing  up to the date the Tenants moved out,found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-030480-26,L1,ExParte Order,2026-05-13,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zlUxHIAU/LTB-L-030480-26-EX.pdf,ocr,[],[],,,,no dollar amount found
LTB-L-099966-25,L1,Order,2026-02-18,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tzfMnIAI/LTB-L-099966-25-HR - February 18 2026.pdf,text,"[2574.45, 84.64, 2574.45, 6000.0, 3563.95, 186.0, 2400.0, 3749.95, 3749.95, 6324.4, 293.46, 84.64, 9563.95, 186.0, 6000.0, 3749.95, 12138.4, 186.0, 6000.0, 6324.4, 7920.54, 186.0, 6000.0, 2400.0, 50000.0, 84.64]","[293.46, 9563.95, 186.0, 12138.4, 186.0, 7920.54, 186.0]",6324.4,arrears,"ary 28, 2026. See Schedule 1  for the calculation of the amount owing.   OR  •  >>>$6,324.40<<< if the payment is made on or before March 1, 2026. See Schedule 1 for  the calc",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-015444-26,L1,Order,2026-05-12,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zVQXmIAO/LTB-L-015444-26-HR - May 12 2026.pdf,text,"[2400.0, 78.9, 2400.0, 2400.0, 7200.0, 186.0, 2400.0, 82.65, 7386.0, 3055.65, 78.9, 9600.0, 186.0, 2400.0, 7386.0, 7752.3, 186.0, 2400.0, 2400.0, 82.65, 3055.65, 50000.0, 78.9]","[9600.0, 186.0, 7752.3, 186.0]",7386.0,arrears,"tion was filed  - $2,400.00  Total the Tenant must pay to continue the tenancy  >>>$7,386.00<<<  B. Amount the Tenant must pay if the tenancy is terminated  Rent Owing To Hear",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-100476-25,L1,Order,2026-02-11,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tovTSIAY/LTB-L-100476-25_Feb 11 2026.pdf,text,"[8223.0, 8037.0, 186.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1223.0]",[186.0],8223.0,arrears,"It is ordered on consent that:  1. The Tenant shall pay to the Landlord >>>$8,223.00<<<. This amount represents $8,037.00 for  arrears of rent up to February 28, 2026,",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-009110-26,L1,Order,2026-04-17,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000y07yEIAQ/LTB-L-009110-26.pdf,text,"[2489.65, 4000.0, 4248.25, 186.0, 4.43, 3500.0, 500.0, 100.0, 1000.0, 4434.25, 1000.0, 1000.0, 1000.0, 1000.0, 434.35]",[],4434.25,arrears,"It is ordered that:  1. The Tenant shall pay to the Landlord >>>$4,434.25<<< for arrears of rent and the filing  fee up April 30, 2026.  2. The Tenant shall",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-078204-25,L1,Order,2026-01-13,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000rsjZeIAI/LTB-L-078204-25-HR.pdf,text,"[950.0, 31.23, 950.0, 1605.0, 3320.0, 186.0, 950.0, 121.03, 535.0, 1214.0, 3506.0, 1703.58, 31.23, 4925.0, 186.0, 1605.0, 3506.0, 4193.61, 186.0, 1605.0, 950.0, 121.03, 1703.58, 50000.0, 31.23]","[4925.0, 186.0, 4193.61, 186.0]",3506.0,arrears,"tion was filed  - $1,605.00  Total the Tenant must pay to continue the tenancy  >>>$3,506.00<<<  B. Amount the Tenant must pay if the tenancy is terminated  Rent Owing To Hear",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-109014-25,L1,Order,2026-03-24,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000wHkORIA0/LTB-L-109014-25-Consent Order final.pdf,text,"[2533.6, 5141.05, 449.0, 1920.53, 300.0, 2570.53, 186.0, 7786.8, 10357.33, 10357.33, 466.4, 1920.53, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 120.53, 10357.33, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 466.4, 96.53]","[186.0, 7786.8, 10357.33]",1920.53,arrears,"rdered on consent that:  1. The Tenant, Fatona Funmi, shall pay to the Landlord >>>$1,920.53<<< for arrears of  rent up to December 27, 2025.  2. The Tenant, Fatona Funmi, sha",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-017213-26,L1,ExParte Order,2026-04-21,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yMlSPIA0/LTB-L-017213-26-EX.pdf,text,[],[],,,,no dollar amount found
